clinic_id;code;name;price
402;B01.018.002;Прием (осмотр, консультация) врача-хирурга - колопроктолога повторный;0
392;B01.023.002;Прием невролога повторный ;0
420;B01.058.002;Прием врача-эндокринолога повторный;0
385;B01.008.001;Прием дерматовенеролога первичный;0
23668;A04.12.002.001.02;УЗИ вен нижних конечностей;0
29671;995;Микроскопическое исследование на патогенные грибы (Microscopic examination for pathogenic fungi);0
23732;A.05.2.43;МРТ поясничного и крестцово-копчикового отделов позвоночника;0
27609;A03.19.001;Аноскопия;0
27645;B01.003.004.004;Аппликационная анестезия в колопроктологии;0
55760;B01.003.004.005.002;Инфильтрационная анестезия параректальная;0
27621;A16.19.003.001;Иссечение анальной трещины;0
27616;A15.19.001;Наложение повязки при операциях на прямой кишке;0
387;B01.013.001;Прием диетолога первичный;0
316;A04.30.001.007;УЗИ в III триместре беременности (28-40 недель);0
390;B01.015.002;Прием кардиолога повторный ;0
10546;И.6;Дополнительное введение препарата Цианокобаламин (Витамин В12) 1 амп.;0
55949;51103СПБ;Гистологическое исследование материала, полученного при малых хирургических операциях (Histologic examination of material from minor surgical procedures);0
25612;25Д;Исследование на наличие клеща демодекс (Demodex folliculorum, Demodex brevis);0
24338;474-А;Посев раневого отделяемого и тканей на микрофлору, определение чувствительности к антимикробным препаратам (Wound/Pus/Aspirate/Tissue Culture. Bacteria Identification and Antibiotic Susceptibility Testing)*;0
23835;A.05.4.113;МРТ двух суставов (непарных);0
23752;A.05.4.66;МРТ стопы;0
23677;B01.027.001;Приём онколога (онколога-маммолога) первичный;0
24665;43;С-реактивный белок (СРБ) (C-Reactive Protein, CRP);0
382;B01.001.001;Прием акушера-гинеколога первичный;0
18999;A03.08.004.001;Видеоэндоскопия полости носа;0
27487;A16.01.004.02;Послеоперационная перевязка (I категория сложности);0
23826;A16.01.017.02;Удаление Невуса (родинки) до 1см;0
23746;A.05.4.61;МРТ кисти;0
23724;A.05.2.33;"МРТ пояснично-крестцового отдела (L1-L5; S1) позвоночника";0
342720;A11.12.003.001.006;Непрерывное внутривенное введение лекарственных препаратов (Неоделпассе);0
25041;КАТЕПЛ;Катехоламины (адреналин, норадреналин, дофамин) в плазме крови – КАТЕПЛ (Catecholamines: Epinephrine/Adrenaline, Norepinephrine/Noradrenaline, Dopamine, Plasma);0
55781;A14.05.001.01;Постановка пиявок (1 ед.);0
23716;A.05.1.23;МРТ головного мозга и шейного отдела позвоночника;0
20381;B01.001.001.001;Прием гинеколога-эндокринолога (КМН) первичный;0
55778;B01.023.002;Прием невролога повторный Занегин Д.А.;0
55783;A21.24.002;Рефлексотерапия при заболеваниях периферической нервной системы;0
19100;A11.04.006.003;Блокада спинномозгового корешка / Паравертебральная блокада / Крестцово — подвздошного сочленения;0
20276;A04.28.002.001.01;УЗИ почек и мочевого пузыря;0
418;B01.057.002;Прием (осмотр, консультация) врача-хирурга повторный;0
409;B01.053.001;Прием уролога (андролога) первичный;0
55777;B01.023.001.002;Прием невролога первичный Занегин Д.А.;0
27472;A11.28.008;Инстилляция в мочевой пузырь (без стоимости препарата);0
24365;441-Р;Посев мочи на микрофлору, определение чувствительности к расширенному спектру антимикробных препаратов (Urine Culture. Bacteria Identification, Antibiotic Susceptibility, Enlarged Testing)*;0
244;A.06.2.11;"СКТ пояснично-крестцового (L1-L5; S1) отдела позвоночника";0
10545;A11.12.003;Дополнительное введение препарата  Цефтриаксон 1 амп.;0
10543;И.14;Дополнительное введение препарата Дексаметазон 1 амп.;0
27588;А11.20.002;Забор цервикального мазка;0
54438;A21.01.002.02;Массаж лица медицинский (щипковый);0
19117;A16.12.014.001;Перевязка раны;0
30366;A15.01.002;Наложение повязки при гнойных заболеваниях кожи и подкожной клетчатки;0
55782;А21.23.002;Рефлексотерапия при заболеваниях центральной нервной системы;0
20382;B01.001.002.001;Прием гинеколога-эндокринолога (КМН) повторный;0
254;A.06.3.23;СКТ коленного сустава;0
23945;391С-УРО;Вирус папилломы человека, oпределение ДНК 21 типа: 6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82 + КВМ в соскобе эпителиальных клеток урогенитального тракта (HPV DNA, Scrape of Urogenital Epithelial Cells, 21 Types (6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82));0
24626;171;Кальцитонин (Calcitonin);0
23786;A.05.11.111;Отправка исследования на электронную почту;0
23767;A.05.6.85;МРТ органов малого таза для мужчин (предстательная железа, семенные пузырьки, лимфоузлы, мочевой пузырь);0
10541;A04.12.005.003.02;Интра- и экстракраниальная допплерография (Сосуды головы и шеи);0
27594;A06.28.009.001;СКТ мочеполовой системы (почки, надпочечники, мочевой пузырь, мочеточники) с внутривенным болюсным усилением 100 мл (Омнипак, в/в введ., 300 мг йода/мл);0
484;A11.20.015;Удаление внутриматочной спирали, неосложненное;0
27459;B01.003.004.01;Анестезия аппликационная (ЛОР);0
18988;A11.08.004;Пункция верхнечелюстной пазухи;0
19111;A11.04.006.004;Блокада спинномозгового корешка / Паравертебральная блокада / Крестцово — подвздошного сочленения (Бетаметазон);0
27585;А14.20.001.001;Санация влагалища, лечебная ванночка;0
24368;446-Р;Посев отделяемого половых органов на микрофлору, определение чувствительности к расширенному спектру антимикробных препаратов (Genitourinary Tract Culture. Bacteria Identification, Antibiotic Susceptibility, Enlarged Testing)*;0
471;A11.12.003;Внутривенное введение лекарственных препаратов (без стоимости препарата);0
18968;A16.25.012;Продувание слуховых труб по Политцеру;0
342802;A14.01.005;Очищение кожи лица и шеи (комбинированная чистка);0
19064;A03.08.005;Фиброларингоскопия (вкл. анестезию);0
25185;445;Микроскопическое (бактериоскопическое) исследование мазка, окрашенного по Граму (Gram Stain. Bacterioscopic Examination of Smear);0
25341;380;Скрининг микрофлоры урогенитального тракта. Фемофлор Скрин. (UROGENITAL TRACT MICROBIOCENOSIS, Screening ( PCR Panel Femoflor Screen));0
23720;A.05.2.27;МРТ шейного отдела позвоночника;0
27551;A03.20.001.001;Расширенная кольпоскопия (видеокольпоскопия) (КМН);0
26452;ОБС154;Биохимия крови: базовый профиль;0
25545;32;Холестерин ЛПВП (Холестерин липопротеинов высокой плотности, ЛПВП, ?-холестерин) (High-Density Lipoprotein Cholesterol, HDL Cholesterol);0
26178;1644;Холестерин ЛПНП (прямой метод) Cholesterol LDL (direct);0
24699;30;Триглицериды (ТГ) (Triglycerides);0
342800;A21.01.002.01;Массаж лица медицинский (классический);0
23733;A.05.2.44;МРТ поясничного отдела и крестцово-подвздошных сочленений;0
27575;А16.20.020.002;Вскрытие и дренирование абсцесса бартолиновой железы;0
27591;В01.003.004.006;Парацервикальная или инфильтрационная анестезия (средний объем);0
23696;B01.003.004.004;Аппликационная анестезия;0
27556;А04.01.001;УЗИ мягких тканей (одна анатомическая зона) врач КМН;0
24339;474-Р;Посев раневого отделяемого и тканей на микрофлору, определение чувствительности к расширенному спектру антимикробных препаратов (Wound/Pus/Aspirate/Tissue Culture. Bacteria Identification, Antibiotic Susceptibility, Enlarged Testing)*;0
23771;A.05.6.89;МРТ органов женского малого таза (с контрастированием) для оценки яичников и придатков по системе O-RADS;0
24662;28;Общий белок (Protein Total);0
24952;16;Глюкоза (Glucose);0
25497;ОБС90;ВИЧ, сифилис, гепатиты В и С (HIV, Syphilis, Hepatitis B, C);0
24766;ОБС76;Щитовидная железа: скрининг (Thyroid Gland: Screening);0
